city,timestamp,id,type,sub_type,tag,x,y,z,length,width,height,theta,v_x,v_y,intersect_id,vic_tag,from_side,car_side_id,road_side_id
PEK,1662888775.3,1278,VEHICLE,CAR,TARGET_AGENT,417891.160818944,4731676.76904101,0.0,4.33264541625977,1.70227205753326,1.11800611019135,-2.56748819351196,-1.09017443656921,-0.640555202960968,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888775.4,1278,VEHICLE,CAR,TARGET_AGENT,417891.00889028,4731676.69084332,0.0,4.33282709121704,1.70340800285339,1.1475076675415,-2.57228183746338,-1.02915930747986,-0.604703903198242,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888775.5,1278,VEHICLE,CAR,TARGET_AGENT,417890.818658956,4731676.55869076,0.0,4.33246994018555,1.70454406738281,1.17700922489166,-2.57226634025574,-1.02915930747986,-0.604703903198242,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888775.6,1278,VEHICLE,CAR,TARGET_AGENT,417890.567306646,4731676.38244412,0.0,4.33216619491577,1.70454406738281,1.17700922489166,-2.56895875930786,-1.02915930747986,-0.604703903198242,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888775.7,1278,VEHICLE,CAR,TARGET_AGENT,417890.453651556,4731676.2985265,0.0,4.33211851119995,1.70568001270294,1.20651078224182,-2.56857514381409,-1.02915930747986,-0.604703903198242,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888775.8,1278,VEHICLE,CAR,TARGET_AGENT,417890.318908819,4731676.20292447,0.0,4.33208227157593,1.70454406738281,1.17700922489166,-2.56966519355774,-1.02915930747986,-0.604703903198242,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888775.9,1278,VEHICLE,CAR,TARGET_AGENT,417890.152702459,4731676.09105656,0.0,4.33211612701416,1.70340800285339,1.1475076675415,-2.56775069236755,-1.02915930747986,-0.604703903198242,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.0,1278,VEHICLE,CAR,TARGET_AGENT,417890.099498876,4731676.04667256,0.0,4.33217668533325,1.70454406738281,1.17700922489166,-2.5684027671814,-0.598067104816437,-0.35140672326088,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.1,1278,VEHICLE,CAR,TARGET_AGENT,417890.023304113,4731676.00330136,0.0,4.33219194412231,1.70340800285339,1.1475076675415,-2.56869888305664,-0.58764773607254,-0.368192881345749,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.2,1278,VEHICLE,CAR,TARGET_AGENT,417889.920210012,4731675.94066594,0.0,4.33220291137695,1.70340800285339,1.1475076675415,-2.56977367401123,-0.585696995258331,-0.371275424957275,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.3,1278,VEHICLE,CAR,TARGET_AGENT,417889.809250006,4731675.88011525,0.0,4.3322229385376,1.70568001270294,1.20651078224182,-2.57358694076538,-0.517022550106049,-0.326225012540817,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.4,1278,VEHICLE,CAR,TARGET_AGENT,417889.760584005,4731675.86094449,0.0,4.33221340179443,1.70681595802307,1.23601233959198,-2.57494878768921,-0.438166201114655,-0.276553511619568,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.5,1278,VEHICLE,CAR,TARGET_AGENT,417889.709167608,4731675.83253071,0.0,4.33218765258789,1.70681595802307,1.23601233959198,-2.57623767852783,-0.388848006725311,-0.244678393006325,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.6,1278,VEHICLE,CAR,TARGET_AGENT,417889.633758673,4731675.79497693,0.0,4.33218002319336,1.70681595802307,1.23601233959198,-2.57540321350098,-0.658283948898315,-0.416482090950012,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.7,1278,VEHICLE,CAR,TARGET_AGENT,417889.588555339,4731675.76966292,0.0,4.33217668533325,1.70681595802307,1.23601233959198,-2.57511019706726,-0.758881866931915,-0.481535345315933,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.8,1278,VEHICLE,CAR,TARGET_AGENT,417889.565622457,4731675.75503895,0.0,4.33217287063599,1.70795202255249,1.26551389694214,-2.57347512245178,-0.771961271762848,-0.491089075803757,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888776.9,1278,VEHICLE,CAR,TARGET_AGENT,417889.526401647,4731675.72282002,0.0,4.33217906951904,1.70681595802307,1.23601233959198,-2.57181859016418,-0.771961271762848,-0.491089075803757,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.0,1278,VEHICLE,CAR,TARGET_AGENT,417889.484792837,4731675.68933842,0.0,4.33218240737915,1.70681595802307,1.23601233959198,-2.56970643997192,-0.697437107563019,-0.445473879575729,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.1,1278,VEHICLE,CAR,TARGET_AGENT,417889.464790472,4731675.67073224,0.0,4.33218336105347,1.70568001270294,1.20651078224182,-2.56768298149109,-0.63929957151413,-0.40956437587738,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.2,1278,VEHICLE,CAR,TARGET_AGENT,417889.435209402,4731675.64824078,0.0,4.33218431472778,1.70454406738281,1.17700922489166,-2.56518220901489,-0.295196861028671,-0.189581409096718,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.3,1278,VEHICLE,CAR,TARGET_AGENT,417889.415416845,4731675.62994549,0.0,4.33218479156494,1.70454406738281,1.17700922489166,-2.56491494178772,-0.180273160338402,-0.116150431334972,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.4,1278,VEHICLE,CAR,TARGET_AGENT,417889.416013845,4731675.62282155,0.0,4.33218288421631,1.70340800285339,1.1475076675415,-2.56473517417908,-0.139372453093529,-0.0900046974420547,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.5,1278,VEHICLE,CAR,TARGET_AGENT,417889.385357031,4731675.5966203,0.0,4.33218240737915,1.70227205753326,1.11800611019135,-2.56507134437561,-0.127641633152962,-0.0825471952557564,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.6,1278,VEHICLE,CAR,TARGET_AGENT,417889.379898199,4731675.61003468,0.0,4.33218193054199,1.70000004768372,1.05900311470032,-2.56526470184326,-0.0952180251479149,-0.0616289041936398,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.7,1278,VEHICLE,CAR,TARGET_AGENT,417889.359594473,4731675.60538266,0.0,4.33218145370483,1.70000004768372,1.05900311470032,-2.56541967391968,-0.0850536972284317,-0.0550428070127964,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.8,1278,VEHICLE,CAR,TARGET_AGENT,417889.370615133,4731675.61581013,0.0,4.33218145370483,1.70000004768372,1.02950155735016,-2.56549429893494,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888777.9,1278,VEHICLE,CAR,TARGET_AGENT,417889.378685125,4731675.61964772,0.0,4.33218193054199,1.70000004768372,1.0,-2.56614851951599,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.0,1278,VEHICLE,CAR,TARGET_AGENT,417889.376720556,4731675.61039326,0.0,4.33218193054199,1.70000004768372,1.0,-2.56645703315735,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.1,1278,VEHICLE,CAR,TARGET_AGENT,417889.368850836,4731675.60322926,0.0,4.33218193054199,1.70000004768372,1.0,-2.5666778087616,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.2,1278,VEHICLE,CAR,TARGET_AGENT,417889.383964666,4731675.61489651,0.0,4.33218240737915,1.70000004768372,1.0,-2.56798505783081,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.3,1278,VEHICLE,CAR,TARGET_AGENT,417889.381384023,4731675.61813519,0.0,4.33218193054199,1.70000004768372,1.0,-2.56766700744629,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.4,1278,VEHICLE,CAR,TARGET_AGENT,417889.396934637,4731675.62738965,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56753778457642,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.5,1278,VEHICLE,CAR,TARGET_AGENT,417889.395826467,4731675.62308857,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56731295585632,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.6,1278,VEHICLE,CAR,TARGET_AGENT,417889.424739965,4731675.63204548,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56716179847717,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.7,1278,VEHICLE,CAR,TARGET_AGENT,417889.440944799,4731675.63761494,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56673145294189,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.8,1278,VEHICLE,CAR,TARGET_AGENT,417889.444929251,4731675.64730618,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56636619567871,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888778.9,1278,VEHICLE,CAR,TARGET_AGENT,417889.422649511,4731675.62998745,0.0,4.33218193054199,1.70000004768372,1.0,-2.56666469573975,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.0,1278,VEHICLE,CAR,TARGET_AGENT,417889.428312429,4731675.63135312,0.0,4.33218193054199,1.70000004768372,1.0,-2.56615090370178,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.1,1278,VEHICLE,CAR,TARGET_AGENT,417889.422134527,4731675.6281316,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56546068191528,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.2,1278,VEHICLE,CAR,TARGET_AGENT,417889.4137441,4731675.62193463,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56511378288269,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.3,1278,VEHICLE,CAR,TARGET_AGENT,417889.376588949,4731675.605602,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56503415107727,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.4,1278,VEHICLE,CAR,TARGET_AGENT,417889.370298513,4731675.60116742,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56595039367676,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.5,1278,VEHICLE,CAR,TARGET_AGENT,417889.369417318,4731675.59923146,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.56598377227783,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.6,1278,VEHICLE,CAR,TARGET_AGENT,417889.365030416,4731675.60000203,0.0,4.33218193054199,1.70000004768372,1.0,-2.56634449958801,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.7,1278,VEHICLE,CAR,TARGET_AGENT,417889.363460668,4731675.59960148,0.0,4.33218193054199,1.70000004768372,1.0,-2.56658506393433,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.8,1278,VEHICLE,CAR,TARGET_AGENT,417889.364904531,4731675.5966203,0.0,4.33218193054199,1.70000004768372,1.0,-2.56723737716675,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888779.9,1278,VEHICLE,CAR,TARGET_AGENT,417889.364090093,4731675.59191296,0.0,4.33218193054199,1.70000004768372,1.0,-2.56949543952942,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.0,1278,VEHICLE,CAR,TARGET_AGENT,417889.361971029,4731675.59111378,0.0,4.33218193054199,1.70000004768372,1.0,-2.57059121131897,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.1,1278,VEHICLE,CAR,TARGET_AGENT,417889.346254885,4731675.579656,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.5723876953125,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.2,1278,VEHICLE,CAR,TARGET_AGENT,417889.352773419,4731675.58214797,0.0,4.33218193054199,1.70000004768372,1.02950155735016,-2.57193040847778,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.3,1278,VEHICLE,CAR,TARGET_AGENT,417889.364587911,4731675.59070752,0.0,4.33218193054199,1.70000004768372,1.0,-2.57119584083557,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.4,1278,VEHICLE,CAR,TARGET_AGENT,417889.370575079,4731675.59322712,0.0,4.33218193054199,1.70000004768372,1.0,-2.57081151008606,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.5,1278,VEHICLE,CAR,TARGET_AGENT,417889.360681661,4731675.58365033,0.0,4.33218193054199,1.70000004768372,1.0,-2.57034730911255,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.6,1278,VEHICLE,CAR,TARGET_AGENT,417889.369255194,4731675.59387372,0.0,4.33218193054199,1.70000004768372,1.0,-2.56953096389771,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.7,1278,VEHICLE,CAR,TARGET_AGENT,417889.362156042,4731675.58478329,0.0,4.33218193054199,1.70000004768372,1.0,-2.56817984580994,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.8,1278,VEHICLE,CAR,TARGET_AGENT,417889.353731283,4731675.58181164,0.0,4.33218193054199,1.70000004768372,1.0,-2.56680536270142,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888780.9,1278,VEHICLE,CAR,TARGET_AGENT,417889.353567251,4731675.58625004,0.0,4.33218193054199,1.70000004768372,1.0,-2.56583905220032,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888781.0,1278,VEHICLE,CAR,TARGET_AGENT,417889.349090704,4731675.582319,0.0,4.33218193054199,1.70000004768372,1.0,-2.56572675704956,0.0,0.0,yizhuang#4-1_po,car,1,100022,-1
PEK,1662888781.1,1278,VEHICLE,CAR,TARGET_AGENT,417889.349090704,4731675.582319,0.0,4.33218193054199,1.70000004768372,1.0,-2.56507349014282,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888781.2,1278,VEHICLE,CAR,TARGET_AGENT,417889.349090704,4731675.582319,0.0,4.33218193054199,1.70000004768372,1.0,-2.56415557861328,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
PEK,1662888781.3,1278,VEHICLE,CAR,TARGET_AGENT,417889.346428045,4731675.58436558,0.0,4.33218193054199,1.70000004768372,1.0,-2.56655383110046,0.0,0.0,yizhuang#4-1_po,car,1,100022,-1
PEK,1662888781.4,1278,VEHICLE,CAR,TARGET_AGENT,417889.341364034,4731675.58118413,0.0,4.33218193054199,1.70000004768372,1.0,-2.56682205200195,0.0,0.0,yizhuang#4-1_po,car,1,100022,200015
