city,timestamp,id,type,sub_type,tag,x,y,z,length,width,height,theta,v_x,v_y,intersect_id
PEK,1663722035.9,374486,VEHICLE,BUS,OTHERS,418970.576911542,4732321.63565819,0,8.94640636444092,2.5,2.38451933860779,0.555321753025055,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.0,374486,VEHICLE,BUS,OTHERS,418970.57739243,4732321.63578397,0,8.94640636444092,2.5,2.38451933860779,0.555055916309357,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.1,374486,VEHICLE,BUS,OTHERS,418970.576175433,4732321.63504074,0,8.94640636444092,2.5,2.38451933860779,0.555063843727112,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.2,374486,VEHICLE,BUS,OTHERS,418970.581253288,4732321.63554847,0,8.94640636444092,2.5,2.38467645645142,0.555344045162201,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.3,374486,VEHICLE,BUS,OTHERS,418970.578018522,4732321.63490241,0,8.94640636444092,2.5,2.38479423522949,0.555384755134583,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.4,374486,VEHICLE,BUS,OTHERS,418970.577110069,4732321.63393331,0,8.94640636444092,2.5,2.38488245010376,0.554841756820679,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.5,374486,VEHICLE,BUS,OTHERS,418970.568473824,4732321.63544704,0,8.94640636444092,2.5,2.38494873046875,0.554418683052063,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.6,374486,VEHICLE,BUS,OTHERS,418970.571032277,4732321.63729537,0,8.94640636444092,2.5,2.38496565818787,0.553885757923126,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.7,374486,VEHICLE,BUS,OTHERS,418970.580724273,4732321.6236991,0,8.94640636444092,2.5,2.38497829437256,0.553989410400391,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.8,374486,VEHICLE,BUS,OTHERS,418970.586463248,4732321.62373623,0,8.94640636444092,2.5,2.38498759269714,0.554336190223694,0.0,0.0,yizhuang#7-1_po
PEK,1663722036.9,374486,VEHICLE,BUS,OTHERS,418970.583131639,4732321.6106609,0,8.94595718383789,2.5,2.38499474525452,0.55424028635025,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.0,374486,VEHICLE,BUS,OTHERS,418970.583884399,4732321.61926884,0,8.94595718383789,2.5,2.38499474525452,0.554539918899536,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.1,374486,VEHICLE,BUS,OTHERS,418970.582390265,4732321.6259698,0,8.94595718383789,2.5,2.38499474525452,0.554761350154877,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.2,374486,VEHICLE,BUS,OTHERS,418970.58100863,4732321.62795109,0,8.94595718383789,2.5,2.38499474525452,0.554886639118195,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.3,374486,VEHICLE,BUS,OTHERS,418970.581350929,4732321.63119806,0,8.94595718383789,2.5,2.38499474525452,0.554896116256714,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.4,374486,VEHICLE,BUS,OTHERS,418970.583993004,4732321.62467682,0,8.94595718383789,2.5,2.38499474525452,0.555142343044281,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.5,374486,VEHICLE,BUS,OTHERS,418970.579113026,4732321.62575074,0,8.94595718383789,2.5,2.38499474525452,0.554993629455566,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.6,374486,VEHICLE,BUS,OTHERS,418970.57779024,4732321.62792823,0,8.94595718383789,2.5,2.38499474525452,0.554825782775879,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.7,374486,VEHICLE,BUS,OTHERS,418970.579311824,4732321.62926914,0,8.94595718383789,2.5,2.38499474525452,0.554932594299316,0.0,0.0,yizhuang#7-1_po
PEK,1663722037.8,374486,VEHICLE,BUS,OTHERS,418970.585243581,4732321.62051107,0,8.94595718383789,2.5,2.38499474525452,0.555004715919495,0.0,0.0,yizhuang#7-1_po
